Number	Core	Pan
1	25657	25657
1	24602	24602
1	24403	24403
1	24211	24211
1	22290	22290
1	25659	25659
1	23425	23425
1	22495	22495
1	23081	23081
1	24169	24169
1	23325	23325
1	19145	19145
1	21762	21762
1	22217	22217
1	18714	18714
2	19525	30734
2	18368	31692
2	18213	31655
2	17484	30463
2	18776	32540
2	19732	29350
2	17471	30681
2	18523	30215
2	19120	30706
2	18559	30423
2	15030	29772
2	17440	29979
2	18195	29679
2	15297	29074
2	18041	30964
2	18035	30778
2	19763	27129
2	18513	31748
2	20177	27850
2	16688	30409
2	18041	29642
2	21457	27314
2	18599	29328
2	14814	28933
2	17119	29245
2	18033	28786
2	15642	27674
2	17950	30664
2	16555	30138
2	17466	32596
2	17418	30410
2	16656	30242
2	16993	30491
2	17648	30924
2	17161	30567
2	14203	29345
2	16297	29868
2	16965	29655
2	14783	28334
2	16625	29876
2	17338	32532
2	17415	30221
2	16336	30370
2	16974	30318
2	17619	30761
2	17248	30288
2	14198	29158
2	16516	29457
2	17134	29294
2	15102	27823
2	16653	31296
2	18641	27074
2	15376	29409
2	16608	28763
2	19380	27079
2	16953	28662
2	13645	27790
2	15854	28198
2	16796	27711
2	14958	26046
2	17749	31335
2	15887	32267
2	17219	31521
2	18145	31683
2	18022	30962
2	14209	30595
2	16243	31178
2	17067	30809
2	14887	29486
2	16533	29387
2	17939	28567
2	19813	27781
2	18061	28689
2	14754	27816
2	17040	28147
2	17935	27707
2	15331	26808
2	16525	29051
2	16339	30325
2	16082	29738
2	13600	28040
2	15484	28773
2	16456	28256
2	13706	27503
2	17700	29550
2	17652	28754
2	14778	27448
2	16949	27894
2	18832	26466
2	14972	26823
2	18217	29277
2	14524	28790
2	16769	29162
2	17660	28726
2	15295	27588
2	14491	27979
2	16664	28423
2	17594	27948
2	15292	26747
2	15423	25484
2	14582	26780
2	13025	24834
2	16860	27119
2	14773	25703
2	15271	25660
3	16122	34850
3	16110	34807
3	16760	32537
3	16335	35439
3	18202	32452
3	15280	34350
3	16637	33888
3	18151	32477
3	16795	33696
3	13730	33765
3	15812	33749
3	16708	33431
3	14462	32971
3	15212	34952
3	14798	34741
3	14939	36048
3	16046	34013
3	14594	34654
3	15316	34573
3	15750	34843
3	15264	34561
3	12719	34323
3	14620	34337
3	15389	34138
3	13317	33643
3	14845	34681
3	14876	36076
3	16046	33979
3	14328	34671
3	15360	34599
3	15754	34839
3	15303	34476
3	12766	34338
3	14831	34292
3	15491	34034
3	13574	33544
3	14779	35472
3	16625	32140
3	14032	34143
3	15297	33710
3	16416	32548
3	15342	33618
3	12616	33549
3	14632	33563
3	15511	33200
3	13652	32574
3	16219	34703
3	14034	35711
3	15332	35211
3	15960	35404
3	15614	34898
3	12769	35215
3	14583	35202
3	15367	34862
3	13368	34438
3	15324	33165
3	16678	32647
3	17839	32425
3	16718	32773
3	13772	32483
3	15883	32515
3	16743	32180
3	14405	31841
3	14807	33521
3	14946	34337
3	14528	33893
3	12236	33432
3	13964	33483
3	14800	33047
3	12573	32965
3	16300	33864
3	15980	33309
3	13372	32924
3	15377	32965
3	16534	31939
3	13829	32489
3	16435	33690
3	13434	33731
3	15498	33757
3	16342	33410
3	14120	32948
3	13191	33238
3	15183	33264
3	16050	32901
3	13936	32484
3	13263	31934
3	13319	32531
3	11768	31932
3	15407	32548
3	13538	32161
3	14144	31969
3	15312	34502
3	15690	32626
3	15062	35706
3	16349	33143
3	14355	34470
3	15274	34285
3	16631	32659
3	15464	33993
3	12735	33827
3	14637	33947
3	15420	33603
3	13548	32801
3	15760	32440
3	15117	35703
3	16369	32980
3	14217	34466
3	15359	34203
3	16669	32540
3	15549	33805
3	12781	33692
3	14856	33761
3	15592	33420
3	13864	32612
3	15747	33369
3	17642	29378
3	14634	32194
3	15855	31416
3	18275	28736
3	16133	31035
3	13042	30857
3	15140	31058
3	16085	30602
3	14235	29478
3	16569	33816
3	13971	35639
3	15363	34932
3	16935	33250
3	15896	34348
3	12824	34694
3	14660	34808
3	15520	34385
3	13669	33602
3	15490	32614
3	16878	31829
3	18786	29535
3	17055	31570
3	13886	31313
3	16025	31478
3	16984	31083
3	14693	30284
3	14674	33598
3	15517	32299
3	14534	33587
3	12132	33272
3	13875	33443
3	14714	32851
3	12717	32492
3	16867	31521
3	16073	32789
3	13311	32506
3	15332	32668
3	16476	31470
3	14033	31775
3	17254	31077
3	13832	30953
3	15988	31176
3	16925	30763
3	14690	29781
3	13261	32429
3	15306	32613
3	16206	32124
3	14257	31365
3	13166	31319
3	13350	31885
3	11913	30893
3	15457	32026
3	13732	31276
3	14383	30970
3	14214	33988
3	14278	35797
3	14911	34167
3	13812	33979
3	14462	34240
3	14932	34498
3	14557	34137
3	12171	33579
3	14082	33695
3	14648	33430
3	13037	32530
3	13872	35550
3	15248	32752
3	13317	33918
3	14181	33799
3	15354	32633
3	14306	33655
3	11842	33277
3	13671	33420
3	14437	33031
3	12880	31991
3	14629	35483
3	13291	35839
3	14137	35602
3	14688	35660
3	14472	35210
3	11900	35229
3	13582	35400
3	14252	35033
3	12588	34228
3	14218	33934
3	15165	33724
3	15997	33115
3	15144	33657
3	12619	33217
3	14533	33368
3	15292	33019
3	13340	32350
3	13950	33755
3	14034	34458
3	13692	34016
3	11632	33216
3	13241	33464
3	13998	33036
3	12020	32487
3	14951	34263
3	14750	33753
3	12456	33111
3	14238	33245
3	15236	32147
3	12951	32401
3	15100	33971
3	12442	33784
3	14317	33937
3	15051	33567
3	13216	32776
3	12335	33353
3	14131	33499
3	14864	33089
3	13136	32342
3	12466	31853
3	12479	32494
3	11146	31397
3	14356	32616
3	12768	31794
3	13280	31595
3	13938	35482
3	15311	32556
3	13245	33904
3	14281	33656
3	15436	32482
3	14432	33432
3	11895	33073
3	13892	33160
3	14626	32789
3	13182	31712
3	14680	35473
3	13109	35913
3	14175	35595
3	14744	35681
3	14556	35143
3	11949	35219
3	13815	35350
3	14377	34925
3	12877	34134
3	14033	33880
3	15212	33601
3	16024	32982
3	15218	33455
3	12675	33089
3	14721	33148
3	15457	32826
3	13621	32123
3	13849	33801
3	13899	34480
3	13595	33960
3	11526	33243
3	13272	33404
3	13944	32941
3	12123	32399
3	15036	34204
3	14798	33541
3	12469	32956
3	14387	33002
3	15394	31963
3	13190	32148
3	15183	33804
3	12493	33677
3	14543	33781
3	15234	33418
3	13533	32611
3	12346	33090
3	14360	33230
3	15041	32818
3	13411	32019
3	12571	31552
3	12517	32176
3	11329	31074
3	14576	32256
3	13028	31324
3	13577	31212
3	15216	33547
3	12872	35400
3	14175	34725
3	15379	33319
3	14565	34211
3	11835	34422
3	13632	34593
3	14459	34109
3	12971	33136
3	14415	32075
3	15699	31307
3	17308	29358
3	15768	31153
3	12912	30732
3	15003	30945
3	15919	30479
3	13981	29480
3	13613	32970
3	14337	32196
3	13484	33183
3	11261	32570
3	12956	32789
3	13766	32140
3	12086	31545
3	15560	31412
3	14897	32380
3	12376	31861
3	14281	32003
3	15373	30725
3	13310	30857
3	15790	31024
3	12765	30820
3	14860	31078
3	15785	30625
3	13919	29459
3	12300	31971
3	14278	32184
3	15138	31627
3	13543	30669
3	12235	30510
3	12495	31124
3	11348	29869
3	14520	31279
3	13065	30246
3	13701	29897
3	13784	35194
3	15179	34437
3	16205	33751
3	15485	34062
3	12669	34186
3	14513	34327
3	15329	33879
3	13406	33237
3	13487	35091
3	13645	35597
3	13501	34989
3	11315	34918
3	12773	35075
3	13554	34515
3	11714	34102
3	15001	34846
3	14942	34114
3	12421	34100
3	14149	34240
3	15237	33076
3	12979	33355
3	15518	34287
3	12531	34626
3	14362	34795
3	15160	34333
3	13331	33546
3	12492	33899
3	14286	34103
3	15112	33630
3	13333	32830
3	12382	33073
3	12455	33618
3	11151	32548
3	14318	33786
3	12740	32972
3	13357	32722
3	14605	32609
3	15161	32565
3	14368	32937
3	12101	32279
3	13837	32462
3	14658	31871
3	12594	31658
3	16546	31769
3	15917	32096
3	13270	31450
3	15294	31634
3	16428	30445
3	13902	30880
3	16675	31503
3	13594	31242
3	15708	31442
3	16627	31030
3	14360	30229
3	13127	31716
3	15162	31909
3	16049	31426
3	14020	30800
3	13133	30248
3	13298	30814
3	11833	30007
3	15423	30992
3	13623	30380
3	14251	30070
3	14344	33525
3	14184	32826
3	12031	31849
3	13715	32095
3	14818	30798
3	12338	31425
3	14193	33544
3	11852	33198
3	13569	33403
3	14402	32828
3	12423	32461
3	11776	32568
3	13423	32775
3	14206	32111
3	12329	31783
3	11924	30819
3	11999	31218
3	10592	30615
3	13755	31429
3	12049	31057
3	12576	30569
3	15718	32724
3	13034	32427
3	15010	32604
3	16139	31414
3	13722	31719
3	12935	31565
3	14853	31756
3	16019	30564
3	13631	30835
3	13046	29884
3	13354	29605
3	11598	29763
3	15418	29837
3	13250	30113
3	14061	28998
3	12958	32365
3	14967	32573
3	15826	32066
3	13928	31332
3	12906	31266
3	13044	31809
3	11653	30837
3	15117	31976
3	13433	31241
3	14054	30928
3	12784	30438
3	12983	31003
3	11607	29983
3	14991	31177
3	13328	30400
3	13976	30075
3	13006	29265
3	11591	27991
3	11784	28982
3	13575	29364
4	14105	37392
4	14390	36196
4	13877	38213
4	15353	36192
4	13461	37298
4	14374	37227
4	15206	36120
4	14409	36970
4	12007	37125
4	13780	37045
4	14542	36849
4	12791	36378
4	14453	36137
4	13915	38252
4	15389	36136
4	13316	37316
4	14455	37251
4	15235	36119
4	14472	36901
4	12070	37117
4	13982	37011
4	14689	36764
4	13053	36327
4	14370	36745
4	16138	33743
4	13643	35800
4	14876	35359
4	16013	33578
4	14941	35080
4	12303	35278
4	14246	35224
4	15110	34924
4	13341	34362
4	15492	36704
4	13085	38088
4	14389	37680
4	15359	36573
4	14685	37204
4	12069	37785
4	13771	37683
4	14580	37376
4	12841	36985
4	14645	35704
4	15981	35242
4	17245	33762
4	16083	35043
4	13210	35177
4	15215	35120
4	16112	34829
4	13992	34464
4	13832	36628
4	14456	35761
4	13697	36595
4	11494	36655
4	13136	36584
4	13909	36196
4	12101	36070
4	15779	35319
4	15122	36129
4	12623	36201
4	14499	36164
4	15492	35271
4	13330	35685
4	15913	34998
4	13022	35228
4	14999	35210
4	15876	34905
4	13775	34454
4	12546	36142
4	14431	36105
4	15275	35780
4	13436	35398
4	12404	35382
4	12682	35867
4	11322	35336
4	14653	35797
4	13043	35440
4	13662	35262
4	13098	37337
4	12920	38204
4	14016	36799
4	12663	37055
4	13462	37219
4	13755	37415
4	13405	37028
4	11283	37039
4	13038	36956
4	13643	36760
4	12112	36300
4	12817	38278
4	14305	35989
4	12468	37208
4	13349	37143
4	14083	36199
4	13358	36947
4	11169	37016
4	12868	36967
4	13604	36735
4	12123	36143
4	13783	37685
4	12267	38181
4	13137	38042
4	13537	38165
4	13304	37677
4	11076	38063
4	12637	37978
4	13300	37746
4	11764	37304
4	13454	36530
4	14371	36427
4	15016	36171
4	14327	36356
4	11990	36291
4	13793	36241
4	14535	36024
4	12732	35646
4	12994	36773
4	13146	37300
4	12791	36870
4	10841	36712
4	12360	36660
4	13081	36361
4	11308	36184
4	14065	37210
4	13808	36712
4	11683	36571
4	13349	36535
4	14218	35739
4	12240	36092
4	14070	36960
4	11728	37098
4	13477	37057
4	14198	36824
4	12467	36368
4	11555	36672
4	13241	36615
4	13964	36363
4	12333	35959
4	11527	35747
4	11741	36244
4	10456	35707
4	13515	36171
4	12022	35799
4	12561	35681
4	12890	38276
4	14368	35932
4	12388	37210
4	13470	37125
4	14159	36178
4	13468	36855
4	11242	36988
4	13094	36894
4	13779	36622
4	12374	36072
4	13808	37742
4	12086	38262
4	13190	38118
4	13583	38236
4	13357	37688
4	11130	38138
4	12825	38043
4	13406	37726
4	12019	37304
4	13289	36530
4	14436	36438
4	15057	36156
4	14402	36273
4	12057	36298
4	13973	36207
4	14681	35942
4	13000	35563
4	12900	36846
4	13014	37347
4	12680	36853
4	10760	36756
4	12377	36683
4	13012	36326
4	11411	36139
4	14158	37261
4	13870	36676
4	11706	36639
