Species	frameshift_deletion	frameshift_insertion	nonframeshift_deletion	nonframeshift_insertion	startloss	stopgain	stoploss
Rgrie	652	1558	697	725	20	183	36
Rmoll	298	554	335	282	13	49	13
Rhena	662	1600	783	844	34	92	35
Rirro	1053	2064	696	766	26	170	35
Rconc	2055	4663	1923	1825	75	423	122
Rdeco	610	1433	729	771	23	117	36
Rovat	187	589	258	196	7	51	11
Rdela	743	1477	761	733	23	186	37
Rprat	776	1985	791	817	28	215	29
Rsims	110	331	197	202	9	33	10
Rwill	1553	1585	554	540	33	169	31
Rvial	258	453	352	330	11	43	14
Rplat	599	1738	704	784	23	156	41
Rripe	249	519	239	193	6	32	8
