Species	insNumber	insLength	delNumber	delLength	totalNumber	totalLength
Rgrie	78601	322920	57547	292330	136148	615250
Rmoll	32772	134793	26119	127270	58891	262063
Rhena	87771	369052	65195	330959	152966	700011
Rirro	88122	357050	63378	315484	151500	672534
Rconc	256360	1088043	190921	994029	447281	2082072
Rdeco	81479	345533	61339	310975	142818	656508
Rovat	32056	123883	24505	115935	56561	239818
Rdela	78631	332077	62591	315444	141222	647521
Rprat	95613	378203	66570	336533	162183	714736
Rsims	22106	90420	17942	84080	40048	174500
Rwill	82153	296222	52991	251032	135144	547254
Rvial	34023	148507	29289	138306	63312	286813
Rplat	85093	353091	62065	315415	147158	668506
Rripe	26438	99137	19364	90578	45802	189715
