Species	UTR5	downstream	upstream	upstream/downstream	intronic	exonic	intergenic	exonic/splicing	splicing
Rgrie	10	18197	19332	1309	75094	3870	18218	1	117
Rmoll	1	7924	8244	601	31966	1544	8564	0	47
Rhena	5	20772	21602	1554	85011	4049	19854	1	118
Rirro	4	19671	20864	1278	84764	4810	19968	0	141
Rconc	23	53913	60176	4175	211676	11083	105892	3	340
Rdeco	4	19349	19786	1458	78846	3719	19516	0	140
Rovat	1	7804	8082	448	30493	1299	8376	0	58
Rdela	6	18688	19260	1458	77067	3960	20671	0	112
Rprat	5	21402	21851	1596	91632	4640	20899	1	157
Rsims	1	5752	5318	337	22743	892	4971	0	34
Rwill	5	16907	18859	1399	77478	4475	15884	1	136
Rvial	1	8625	9091	733	34301	1461	9060	0	40
Rplat	8	19298	21019	1642	81403	4044	19609	1	134
Rripe	2	6384	6358	512	25583	1246	5678	0	39
