Species	Gene	Intergenic	TotalNumber	TotalLength
Rgrie	525160	65407	590567	590567
Rmoll	245185	28917	274102	274102
Rhena	574494	68038	642532	642532
Rirro	556639	68192	624831	624831
Rconc	1462318	414128	1876446	1876446
Rdeco	549804	69163	618967	618967
Rovat	221036	27087	248123	248123
Rdela	550610	70967	621577	621577
Rprat	579222	68720	647942	647942
Rsims	169778	19334	189112	189112
Rwill	416006	43783	459789	459789
Rvial	265444	30187	295631	295631
Rplat	561294	69658	630952	630952
Rripe	180181	16876	197057	197057
