Species	UTR5	downstream	upstream	upstream/downstream	intronic	exonic	intergenic	splicing
Rgrie	0	58175	50924	4118	312337	99441	65407	165
Rmoll	0	27157	23797	1936	142841	49381	28917	73
Rhena	0	65701	57006	4719	339718	107187	68038	163
Rirro	0	62102	55722	3851	331876	102930	68192	158
Rconc	1	183161	178141	12407	861735	226347	414128	526
Rdeco	0	63104	54251	4618	325252	102438	69163	141
Rovat	0	25861	22171	1397	128800	42767	27087	40
Rdela	0	60815	53915	4664	325818	105235	70967	163
Rprat	0	65286	57398	4737	345481	106174	68720	146
Rsims	0	20037	15709	1085	98237	34677	19334	33
Rwill	0	47288	42401	3559	250749	71925	43783	84
Rvial	0	30584	27092	2140	153327	52238	30187	63
Rplat	0	62758	55948	4641	333644	104136	69658	167
Rripe	0	20541	17605	1700	104181	36121	16876	33
